lat,lon,name,bridge_type,bridge,dept_name,dept_code,dept_code_csv
43.5849258,1.4285513,Pont de la Croix de Pierre,secondary,yes,Haute-Garonne,31,31
43.5848647,1.4288569,Pont de la Croix de Pierre,secondary,yes,Haute-Garonne,31,31
43.5848436,1.4289831,Pont de la Croix de Pierre,secondary,yes,Haute-Garonne,31,31
43.5848365,1.429165,Pont de la Croix de Pierre,secondary,yes,Haute-Garonne,31,31
43.5921351,1.4419736,Pont Saint-Michel,primary,yes,Haute-Garonne,31,31
43.5921357,1.4418805,Pont Saint-Michel,primary,yes,Haute-Garonne,31,31
43.5921721,1.4414594,Pont Saint-Michel,primary,yes,Haute-Garonne,31,31
43.5921988,1.4412119,Pont Saint-Michel,primary,yes,Haute-Garonne,31,31
43.5922362,1.4408405,Pont Saint-Michel,primary,yes,Haute-Garonne,31,31
49.3053037,2.7149282,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3066033,2.7142301,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3072131,2.7139044,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3088567,2.7130363,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3115597,2.7116088,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3124356,2.7111326,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3139537,2.7103503,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3156632,2.7094437,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3165276,2.7089842,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3171913,2.7086306,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
49.3185223,2.7079231,Ligne de Gonesse à Lille-Frontière (LGV),rail,viaduct,Oise,60,60
